IP:PORT, LOSS, DELAY
162.159.192.29:7152,0.00%,137 ms
162.159.195.78:1074,0.00%,138 ms
162.159.195.126:1014,0.00%,138 ms
162.159.195.207:1018,0.00%,138 ms
162.159.195.149:891,0.00%,138 ms
162.159.195.34:939,0.00%,138 ms
162.159.192.95:942,0.00%,138 ms
162.159.195.147:908,0.00%,138 ms
162.159.195.220:988,0.00%,138 ms
162.159.192.246:1014,0.00%,138 ms
162.159.195.196:7156,0.00%,138 ms
162.159.192.71:1701,0.00%,138 ms
162.159.195.198:7156,0.00%,138 ms
162.159.192.152:854,0.00%,138 ms
162.159.192.152:1002,0.00%,139 ms
162.159.192.239:1014,0.00%,139 ms
162.159.195.32:939,0.00%,139 ms
162.159.192.122:1014,0.00%,139 ms
162.159.195.208:1018,0.00%,139 ms
162.159.192.19:7152,0.00%,139 ms
162.159.192.238:1014,0.00%,139 ms
162.159.195.213:946,0.00%,139 ms
162.159.192.64:4198,0.00%,139 ms
162.159.195.61:968,0.00%,139 ms
162.159.192.95:2408,0.00%,139 ms
162.159.195.241:2506,0.00%,140 ms
162.159.195.24:8854,0.00%,140 ms
162.159.192.54:1701,0.00%,140 ms
162.159.195.209:946,0.00%,140 ms
162.159.195.120:1701,0.00%,140 ms
162.159.195.209:988,0.00%,140 ms
162.159.192.204:928,0.00%,140 ms
162.159.195.204:7156,0.00%,140 ms
162.159.195.148:891,0.00%,140 ms
162.159.192.238:2506,0.00%,140 ms
162.159.195.77:1074,0.00%,140 ms
162.159.192.139:854,0.00%,140 ms
162.159.195.7:1387,0.00%,140 ms
162.159.195.88:1074,0.00%,140 ms
162.159.192.142:1002,0.00%,141 ms
162.159.195.98:3854,0.00%,141 ms
162.159.195.217:988,0.00%,141 ms
162.159.192.138:1002,0.00%,141 ms
162.159.195.159:955,0.00%,141 ms
162.159.195.95:3854,0.00%,141 ms
162.159.195.145:908,0.00%,141 ms
162.159.195.81:3854,0.00%,141 ms
162.159.192.121:1014,0.00%,141 ms
162.159.195.127:908,0.00%,141 ms
162.159.195.79:3854,0.00%,141 ms
162.159.195.111:1014,0.00%,141 ms
162.159.192.146:854,0.00%,141 ms
162.159.192.158:1002,0.00%,141 ms
162.159.195.192:7156,0.00%,141 ms
162.159.192.125:1014,0.00%,141 ms
162.159.195.123:1701,0.00%,141 ms
162.159.192.78:4198,0.00%,141 ms
162.159.192.174:4177,0.00%,141 ms
162.159.195.48:1010,0.00%,141 ms
162.159.192.177:4177,0.00%,141 ms
162.159.195.116:1701,0.00%,141 ms
162.159.195.251:2506,0.00%,141 ms
162.159.195.77:3854,0.00%,141 ms
162.159.195.182:4177,0.00%,141 ms
162.159.195.173:955,0.00%,141 ms
162.159.195.201:1018,0.00%,141 ms
162.159.192.136:854,0.00%,141 ms
162.159.192.187:4177,0.00%,141 ms
162.159.192.244:1014,0.00%,141 ms
162.159.195.133:891,0.00%,141 ms
162.159.195.130:891,0.00%,141 ms
162.159.195.92:1074,0.00%,141 ms
162.159.195.206:1018,0.00%,141 ms
162.159.192.168:1387,0.00%,141 ms
162.159.195.18:8854,0.00%,141 ms
162.159.192.189:942,0.00%,141 ms
162.159.195.168:955,0.00%,141 ms
162.159.192.97:942,0.00%,141 ms
162.159.195.86:1074,0.00%,141 ms
162.159.195.216:988,0.00%,141 ms
162.159.192.185:4177,0.00%,141 ms
162.159.192.134:854,0.00%,141 ms
162.159.195.108:1701,0.00%,141 ms
162.159.192.223:2506,0.00%,141 ms
162.159.192.170:880,0.00%,141 ms
162.159.195.60:968,0.00%,141 ms
